product,review
"Wireless Headphones","The sound quality is excellent and the battery lasts all day."
"Wireless Headphones","Very comfortable headphones but the delivery was late."
"Wireless Headphones","The Bluetooth connection is unstable sometimes."
"Wireless Headphones","Great value for money and nice design."
"Wireless Headphones","The battery is not as good as advertised."
"Wireless Headphones","Noise cancellation works really well."
"Wireless Headphones","The product feels cheap and fragile."
"Wireless Headphones","I love the comfort and the sound clarity."
"Smart Watch","The screen is bright and the design looks premium."
"Smart Watch","Battery life is too short for daily use."
"Smart Watch","The app is slow and sometimes crashes."
"Smart Watch","Good fitness tracking and easy to use."
"Smart Watch","The strap quality is disappointing."
"Coffee Machine","The coffee tastes great and the machine is easy to clean."
"Coffee Machine","It is noisy and takes too much space."
"Coffee Machine","Excellent build quality and fast preparation."
"Coffee Machine","The water tank is too small."
"Coffee Machine","Good product for the price."
"General Product","Excellent product, I highly recommend it."
"General Product","The quality is bad and customer service was not helpful."
"General Product","Good price but delivery was slow."
"General Product","Average experience, nothing special."
"General Product","Very useful and easy to use."
